2B (Nose Pokes),,,,,,2G (deltaF/F),,,,,,,,,,,,,,,,,,,,2H (deltaF/F),,,,,,,,,,,,,,,,,,
,RR20,,RI120,,,,NP+,,,,,,,,,NP-,,,,,,,,,,,ME+,,,,,,,,,ME-,,,,,,,,
ID,Valued,Devalued,Valued,Devalued,,,RI120,,,,RR20,,,,,RI120,,,,RR20,,,,,,,RI120,,,,RR20,,,,,RI120,,,,RR20,,,,
1,61,25,45,31,,Time|ID,1,2,3,4,1,2,3,4,5,1,2,3,4,1,2,3,4,5,,Time|ID,1,2,3,4,1,2,3,4,5,1,2,3,4,1,2,3,4,5
,,,,,,-0.53333,0.333333333,-0.025,-0.018181818,0.32,-0.05368,0.428889,0.1075,0.208525,0.4825,0.835294,0.085714,0.216071,0.147368,0.116514,0.552206,0.351538,0.290367,0.741935,,-0.53333,0.7375,0.875,1.245455,1.05,0.973684,1.613333,1.058333,1.542623,1.191071,0.218182,1.017284,0.720253,0.667949,0.782667,1.438095,0.817949,1.218462,0.938596
,,,,,,-0.5,0.333333333,-0.05,-0.036363636,0.33,-0.10632,0.413333,0.099167,0.19377,0.455714,0.847059,0.064286,0.180357,0.152632,0.087156,0.532353,0.350769,0.283486,0.735887,,-0.5,0.7625,0.925,1.3,1.24,1.021053,1.662222,1.1125,1.539344,1.266071,0.163636,1.091358,0.756962,0.723077,0.810667,1.438095,0.821795,1.247692,0.966667
,,,,,,-0.46667,0.333333333,-0.1,-0.063636364,0.3,-0.13263,0.391111,0.099167,0.190492,0.436071,0.847059,0.032143,0.158929,0.147368,0.063303,0.509559,0.345385,0.277982,0.718548,,-0.46667,0.791667,1,1.354545,1.39,1.052632,1.706667,1.116667,1.531148,1.339286,0.163636,1.15679,0.791139,0.767949,0.833333,1.442857,0.803846,1.246154,0.968421
,,,,,,-0.43333,0.4,-0.091666667,-0.072727273,0.3,-0.18526,0.364444,0.074167,0.174098,0.421786,0.823529,0.025,0.146429,0.121053,0.045872,0.496324,0.331538,0.268349,0.702016,,-0.43333,0.8,1.058333,1.427273,1.53,1.073684,1.711111,1.129167,1.514754,1.382143,0.145455,1.233333,0.824051,0.824359,0.849333,1.419048,0.803846,1.233846,0.97193
,,,,,,-0.4,0.4,-0.108333333,-0.072727273,0.27,-0.23789,0.357778,0.049167,0.164262,0.396786,0.817647,0,0.128571,0.073684,0.019266,0.465441,0.319231,0.261009,0.674597,,-0.4,0.845833,1.141667,1.490909,1.64,1.078947,1.715556,1.133333,1.467213,1.425,0.127273,1.308642,0.853165,0.883333,0.857333,1.409524,0.796154,1.223077,0.95614
,,,,,,-0.36667,0.5,-0.116666667,-0.1,0.24,-0.27474,0.34,0.040833,0.165902,0.389643,0.817647,-0.01786,0.108929,0.031579,-0.00183,0.441912,0.31,0.25367,0.63871,,-0.36667,0.883333,1.225,1.518182,1.75,1.126316,1.7,1.125,1.408197,1.448214,0.136364,1.365432,0.888608,0.942308,0.862667,1.37619,0.776923,1.189231,0.922807
,,,,,,-0.33333,0.633333333,-0.091666667,-0.109090909,0.25,-0.30632,0.322222,0.015833,0.157705,0.346786,0.811765,-0.025,0.096429,0,-0.0211,0.425735,0.301538,0.248165,0.614919,,-0.33333,0.891667,1.341667,1.572727,1.81,1.147368,1.677778,1.154167,1.329508,1.451786,0.118182,1.419753,0.911392,1.002564,0.861333,1.352381,0.782051,1.138462,0.919298
,,,,,,-0.3,0.766666667,-0.058333333,-0.118181818,0.23,-0.35368,0.3,0.024167,0.159344,0.337857,0.811765,-0.03214,0.071429,-0.01579,-0.03945,0.402941,0.287692,0.242661,0.591129,,-0.3,0.908333,1.475,1.590909,1.9,1.178947,1.668889,1.158333,1.24918,1.457143,0.109091,1.467901,0.918987,1.052564,0.866667,1.304762,0.778205,1.104615,0.917544
,,,,,,-0.26667,0.866666667,-0.041666667,-0.136363636,0.22,-0.37474,0.295556,0.024167,0.149508,0.316429,0.817647,-0.03571,0.05,-0.01579,-0.04679,0.381618,0.292308,0.245872,0.5625,,-0.26667,0.970833,1.566667,1.6,2.04,1.194737,1.635556,1.154167,1.165574,1.442857,0.1,1.519753,0.931646,1.110256,0.866667,1.27619,0.761538,1.058462,0.905263
,,,,,,-0.23333,1,-0.041666667,-0.145454545,0.22,-0.40632,0.277778,0.015833,0.164262,0.321786,0.858824,-0.02857,0.023214,-0.04211,-0.05505,0.359559,0.276923,0.243578,0.543548,,-0.23333,0.991667,1.683333,1.618182,2.1,1.194737,1.593333,1.1625,1.07377,1.417857,0.118182,1.555556,0.95443,1.167949,0.892,1.22381,0.733333,1.024615,0.901754
,,,,,,-0.2,1.1,-1.85037E-17,-0.163636364,0.17,-0.41684,0.257778,0.0325,0.157705,0.325357,0.841176,-0.00357,0.003571,-0.05789,-0.05688,0.341912,0.263077,0.243119,0.520565,,-0.2,1.0125,1.733333,1.609091,2.22,1.2,1.546667,1.158333,0.995082,1.380357,0.136364,1.597531,0.932911,1.201282,0.908,1.171429,0.707692,0.978462,0.903509
,,,,,,-0.16667,1.166666667,-1.61908E-17,-0.172727273,0.16,-0.43263,0.248889,0.036667,0.167541,0.318214,0.817647,-0.00714,-0.0125,-0.05789,-0.05229,0.315441,0.256154,0.240826,0.493952,,-0.16667,1.091667,1.8,1.563636,2.31,1.231579,1.491111,1.15,0.903279,1.325,0.145455,1.634568,0.936709,1.271795,0.909333,1.133333,0.696154,0.921538,0.901754
,,,,,,-0.13333,1.166666667,0.008333333,-0.172727273,0.13,-0.44842,0.228889,0.053333,0.174098,0.321786,0.788235,-0.00714,-0.02321,-0.06316,-0.04862,0.300735,0.256923,0.238532,0.480645,,-0.13333,1.145833,1.85,1.563636,2.37,1.242105,1.422222,1.129167,0.821311,1.255357,0.163636,1.671605,0.920253,1.316667,0.912,1.07619,0.669231,0.890769,0.912281
,,,,,,-0.1,1.2,0.025,-0.154545455,0.14,-0.46947,0.242222,0.02,0.188852,0.32,0.770588,0.003571,-0.03571,-0.07895,-0.04587,0.286765,0.25,0.23578,0.461694,,-0.1,1.2125,1.908333,1.554545,2.47,1.231579,1.357778,1.116667,0.74918,1.155357,0.181818,1.697531,0.897468,1.339744,0.912,1.014286,0.65641,0.866154,0.929825
,,,,,,-0.06667,1.2,0.083333333,-0.163636364,0.13,-0.48,0.24,0.015833,0.19377,0.318214,0.758824,0.046429,-0.04464,-0.07895,-0.04495,0.269853,0.239231,0.23211,0.442742,,-0.06667,1.254167,1.983333,1.527273,2.54,1.263158,1.275556,1.054167,0.680328,1.071429,0.2,1.734568,0.882278,1.380769,0.912,0.952381,0.621795,0.849231,0.922807
,,,,,,-0.03333,1.2,0.116666667,-0.2,0.1,-0.46947,0.253333,0.036667,0.228197,0.330714,0.747059,0.082143,-0.04643,-0.09474,-0.04587,0.261029,0.242308,0.237156,0.432258,,-0.03333,1.3375,2.016667,1.509091,2.58,1.257895,1.197778,1.045833,0.604918,0.973214,0.172727,1.741975,0.865823,1.401282,0.909333,0.895238,0.584615,0.846154,0.921053
,,,,,,0,1.233333333,0.133333333,-0.2,0.09,-0.43789,0.257778,0.02,0.239672,0.346786,0.705882,0.103571,-0.04643,-0.07368,-0.03486,0.256618,0.242308,0.233486,0.428226,,0,1.408333,2.033333,1.490909,2.63,1.263158,1.117778,1.029167,0.519672,0.8875,0.181818,1.751852,0.860759,1.414103,0.930667,0.814286,0.569231,0.850769,0.912281
,,,,,,0.03333,1.266666667,0.133333333,-0.190909091,0.09,-0.39053,0.262222,0.02,0.264262,0.346786,0.7,0.132143,-0.025,-0.06316,-0.02477,0.242647,0.241538,0.227523,0.425806,,0.03333,1.475,2.058333,1.490909,2.65,1.257895,1.048889,0.991667,0.478689,0.830357,0.172727,1.750617,0.851899,1.433333,0.958667,0.728571,0.546154,0.849231,0.861404
,,,,,,0.06667,1.166666667,0.133333333,-0.145454545,0.08,-0.33263,0.284444,0.003333,0.272459,0.371786,0.694118,0.146429,-0.0125,-0.05789,-0.00459,0.241176,0.248462,0.23211,0.420565,,0.06667,1.541667,2.041667,1.454545,2.66,1.242105,0.973333,0.954167,0.454098,0.764286,0.163636,1.745679,0.849367,1.460256,0.978667,0.657143,0.520513,0.850769,0.819298
,,,,,,0.1,1.1,0.125,-0.109090909,0.11,-0.28526,0.291111,0.003333,0.306885,0.395,0.652941,0.171429,-0.01071,-0.05789,0.019266,0.225,0.254615,0.227982,0.421774,,0.1,1.608333,2.041667,1.454545,2.69,1.252632,0.886667,0.920833,0.431148,0.671429,0.145455,1.739506,0.856962,1.478205,1,0.62381,0.512821,0.832308,0.766667
